rt,trial_type,trial_index,time_elapsed,responses,name,stimulus,stimulus_block,stimulus_side,key_press,time_post_trial,is_fullscreen,correct,trial_began,block,sub_block,is_stimulus
24197.0,instructions,0,24197,,,,,,,,,,,,,
5141.0,survey-multi-choice,1,29341,"{""Q0"":""אישה"",""Q1"":""ימין"",""Q2"":""עברית""}",,,,,,,,,,,,
4247.0,survey-text,2,33589,"{""Q0"":""23"",""Q1"":""29""}",,,,,,,,,,,,
2207.0,survey-multi-choice,3,35797,"{""Q0"":""כן""}",,,,,,,,,,,,
4807.0,survey-likert,4,40605,"{""Q0"":""""}",attention_2,,,,,,,,,,,
52303.0,instructions,5,92908,,,,,,,,,,,,,
2755.5,bRMS,6,96048,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
1701.5,bRMS,7,98544,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1872.2999999523165,bRMS,8,101193,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
1301.2999999523165,bRMS,9,103272,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
1422.7000000476835,bRMS,10,105488,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
870.4000000953674,bRMS,11,107144,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
1144.7999999523165,bRMS,12,109063,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
977.5999999046326,bRMS,13,110823,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
902.5999999046326,bRMS,14,112512,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
639.5999999046326,bRMS,15,113928,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
683.8999998569489,bRMS,16,115408,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
703.1000001430511,bRMS,17,116888,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
837.4000000953674,bRMS,18,118505,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
830.8000001907349,bRMS,19,120121,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
800.5999999046326,bRMS,20,121696,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
859.5999999046326,bRMS,21,123344,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
4124.0,instructions,22,127877,,,,,,,,,,,,,
824.2999999523163,bRMS,23,129072,,,images/rms/f42887_e_297.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
644.2999999523163,bRMS,24,130505,,,images/rms/f42887_e_258.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
856.2999999523163,bRMS,25,132136,,,images/rms/f42887_e_259.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
927.4000000953674,bRMS,26,133845,,,images/rms/f42887_e_241_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
926.2000000476836,bRMS,27,135545,,,images/rms/f42887_e_259_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
845.2000000476837,bRMS,28,137176,,,images/rms/f42887_e_127_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
676.7000000476837,bRMS,29,138624,,,images/rms/f42887_e_103_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
829.5,bRMS,30,140224,,,images/rms/f42887_e_161.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
817.5999999046326,bRMS,31,141824,,,images/rms/f42887_e_053_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
589.7999999523163,bRMS,32,143193,,,images/rms/f42887_e_298_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1269.0,bRMS,33,145240,,,images/rms/f42887_e_202.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
998.0999999046326,bRMS,34,147008,,,images/rms/f42887_e_140.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
877.7000000476837,bRMS,35,148659,,,images/rms/f42887_e_080.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
684.8000001907349,bRMS,36,150121,,,images/rms/f42887_e_072.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
845.4000000953674,bRMS,37,151752,,,images/rms/f42887_e_028.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
807.3999998569489,bRMS,38,153360,,,images/rms/f42887_e_245.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
1008.2000000476836,bRMS,39,155153,,,images/rms/f42887_e_298.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
782.2999999523163,bRMS,40,156721,,,images/rms/f42887_e_001_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
751.2000000476837,bRMS,41,158257,,,images/rms/f42887_e_058_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
572.0999999046326,bRMS,42,159608,,,images/rms/f42887_e_293.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
949.6000001430511,bRMS,43,161336,,,images/rms/f42887_e_015.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
661.0999999046326,bRMS,44,162775,,,images/rms/f42887_e_293_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
710.0999999046326,bRMS,45,164257,,,images/rms/f42887_e_180.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
798.0,bRMS,46,165832,,,images/rms/f42887_e_278.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
959.7999999523164,bRMS,47,167577,,,images/rms/f42887_e_064.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
595.2000000476837,bRMS,48,168953,,,images/rms/f42887_e_258_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
637.5999999046326,bRMS,49,170375,,,images/rms/f42887_e_025.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
965.6000001430511,bRMS,50,172120,,,images/rms/f42887_e_080_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
800.2999999523163,bRMS,51,173706,,,images/rms/f42887_e_297_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1059.8000001907349,bRMS,52,175543,,,images/rms/f42887_e_103.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
982.1999998092653,bRMS,53,177305,,,images/rms/f42887_e_001.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
916.8999998569489,bRMS,54,179001,,,images/rms/f42887_e_180_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1501.2000000476835,bRMS,55,181288,,,images/rms/f42887_e_245_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
610.8999998569489,bRMS,56,182680,,,images/rms/f42887_e_025_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
685.6000001430511,bRMS,57,184161,,,images/rms/f42887_e_156_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1287.0,bRMS,58,186240,,,images/rms/f42887_e_289.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
1022.4000000953674,bRMS,59,188041,,,images/rms/f42887_e_156.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
661.4000000953674,bRMS,60,189480,,,images/rms/f42887_e_053.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
766.7999999523163,bRMS,61,191032,,,images/rms/f42887_e_072_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
570.0999999046326,bRMS,62,192392,,,images/rms/f42887_e_098_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
534.5999999046326,bRMS,63,193704,,,images/rms/f42887_e_058.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
646.5999999046326,bRMS,64,195120,,,images/rms/f42887_e_161_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
599.9000000953674,bRMS,65,196504,,,images/rms/f42887_e_241.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
853.7000000476837,bRMS,66,198137,,,images/rms/f42887_e_005.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
701.7999999523163,bRMS,67,199624,,,images/rms/f42887_e_121.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
1205.9000000953674,bRMS,68,201616,,,images/rms/f42887_e_278_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
597.8999998569489,bRMS,69,203009,,,images/rms/f42887_e_289_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1006.5,bRMS,70,204792,,,images/rms/f42887_e_064_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
518.4000000953674,bRMS,71,206105,,,images/rms/f42887_e_295_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
806.5999999046326,bRMS,72,207688,,,images/rms/f42887_e_005_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
1272.9000000953674,bRMS,73,209736,,,images/rms/f42887_e_296_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
835.6000001430511,bRMS,74,211352,,,images/rms/f42887_e_098.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
1343.5999999046326,bRMS,75,213480,,,images/rms/f42887_e_140_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
621.0999999046326,bRMS,76,214888,,,images/rms/f42887_e_252_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
665.5999999046326,bRMS,77,216323,,,images/rms/f42887_e_121_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
805.0999999046326,bRMS,78,217909,,,images/rms/f42887_e_015_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
603.5999999046326,bRMS,79,219288,,,images/rms/f42887_e_028_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
